user_id,one_sentence
1,매일 아침에 운동을 즐겨합니다.
2,조용한 밤과 커피를 좋아합니다.
3,"스포츠를 좋아하고, 주말에는 친구들과 축구를 즐깁니다."
4,"정리 정돈을 잘하고, 깔끔한 생활을 추구합니다."
5,룸메이트와 함께 맛있는 밥을 자주 먹고 싶어요.
6,공부도 중요하지만 룸메이트와 관심주제가 같았으면 좋겠습니다.
7,여행 하는 것을 좋아합니다.
8,게임과 프로그래밍을 좋아합니다.
9,함께 놀고 즐길 수 있는 룸메이트였으면 좋겠어요.
10,"헬스를 좋아하는데, 같이 운동할 수 있는 룸메이트 구합니다!"
11,같은 전공이신 분이었으면 좋겠어요.
12,"클라이밍 좋아하는데, 클라이밍에 관심 많으신 분 찾습니다!"
13,처음엔 낯을 많이 가리지만 친해지면 정신없어집니다.
14,평화롭고 조용한 환경을 좋아합니다.
15,"자유로운 영혼, 어드벤처와 새로운 경험을 사랑합니다."
16,밴드 활동을 하고 있어 음악을 사랑하는 룸메이트와 잘 맞을 것 같습니다.
17,"공동체 생활을 중요하게 생각하고, 함께 활동을 기획하고 싶어요."
18,"축구 좋아하는데, 같이 축구할 룸메였으면 좋겠습니다."
19,매사에 긍정적이고 때론 시끄러울 수 있는 학교생활을 추구합니다.
20,건설적인 생각을 가진 룸메였으면 좋겠어요.
21,영화 보기와 음악 감상이 취미인 학생입니다.
22,테크놀로지와 최신 기기에 관심이 많은 테크니컬한 사람입니다.
23,"포토그래피를 취미로 하며, 자연을 배경으로 한 사진을 즐겨 찍어요."
24,"패션에 관심 많고, 개성 있는 스타일을 추구하는 학생입니다."
25,"클라이밍을 취미로 하며, 액티브하게 여가 시간을 보내길 좋아하는 학생입니다."
26,카페다니는 것을 좋아하는 학생입니다!
27,"아침 수업을 좋아하는데, 룸메가 아침형 인간이었으면 좋겠습니다."
28,애니메이션과 만화를 좋아해요.
29,밤늦게까지 깨어있으신 분들 좋아요!
30,책을 좋아하는 조용한 사람입니다.
31,밤에 조용히 공부합니다.
32,기숙사 청결을 중시하는 사람입니다.
33,PC게임을 좋아하는 게이머입니다.
34,9시수업을 좋아는 아침형 인간입니다.
35,기숙사 야경처럼 조용한 밤을 좋아합니다.
36,대학 로맨스 영화를 즐깁니다.
37,주말에 대학교 근처 여행을 즐기는 사람입니다.
38,대학 런닝운동을 즐기는 스포츠 매니아입니다.
39,자취하면서 요리를 좋아하는 사람입니다.
40,벗터열람실에서 공부하며 음악을 즐겨 듣는 음악 팬입니다.
41,늦게 까지 밤샘공부하며 자는 올빼미형 인간입니다
42,자료열람실에서 독서를 즐기는 독서광입니다.
43,술먹고 야식 먹는 걸 좋아합니다.
44,카페 가서 커피를 좋아하는 커피 애호가입니다.
45,자취방에서 항상 정리정돈을 합니다.
46,대학교 그림 그리는 걸 좋아합니다.
47,혼자 있는 시간을 좋아합니다.
48,애완동물 애호가입니다.
49,"방구석에서 드라마, 웹툰을 자주 봅니다."
50,백화점에서 명품에 대한 패션에 관심이 많습니다.
51,프로그래밍 스터디 그룹을 좋아합니다.
52,MT 가는 계획을 자주 세웁니다.
53,대학 탐방 사진 찍는 걸 좋아합니다.
54,뒷산 자연을 사랑하는 사람입니다.
55,집에서 게임 스트리머를 방송으로 자주 봅니다.
56,DIY 프로젝트를 즐깁니다.
57,대학교 가는 길마다 조깅을 좋아합니다.
58,차를 즐기는 차 애호가입니다.
59,부끄러움이 많지만 따뜻한 사람입니다
60,각자의 취미를 존중하며 지내고 싶습니다!
61,매주 새로운 카페를 탐방하는 것을 좋아하는 카페 러버입니다!
62,동물을 너무 좋아하고 동물 친화적인 룸메이트를 찾고 있습니다
63,룸메이트와 함께 기억에 남을 기숙사 생활을 만들고 싶어요!
64,항상  배려 깊고 책임감 있는 공대생입니다!
